"year","week","speed_main","flow_main","speed_ngh_432","hour7","hour8","hour9"
9,18,113.48,2962,100.37,1,0,0
9,30,114.58,3101,109.22,1,0,0
9,31,115.87,3022,112.42,1,0,0
9,32,117.98,2922,115.42,1,0,0
9,33,118.7,3148,111.49,1,0,0
9,40,117.84,3129,103.96,1,0,0
7,18,114.57,3414,108.52,0,1,0
7,31,116.62,3242,111.69,0,1,0
7,32,115.45,3293,111.25,0,1,0
7,52,116.3,458,112.42,0,1,0
8,1,114.67,2923,109.08,0,1,0
8,31,117.58,3414,111.67,0,1,0
8,32,118.16,3254,112.31,0,1,0
8,52,118.5,458,113.53,0,1,0
9,1,120.34,337,114.98,0,1,0
9,18,109.14,3265,108.47,0,1,0
9,30,115.33,3254,109.51,0,1,0
9,31,116.5,3496,110.14,0,1,0
9,32,115.45,3210,111.63,0,1,0
9,33,114.41,3434,109.06,0,1,0
7,9,107.97,2989,105.25,0,0,1
7,10,114.68,3246,108.18,0,0,1
7,11,113.54,3496,106.32,0,0,1
7,12,115.35,3384,108.19,0,0,1
7,14,113.58,3422,107.23,0,0,1
7,17,111.9,3348,106.18,0,0,1
7,18,116.12,2168,110.78,0,0,1
7,20,112.92,3399,107.09,0,0,1
7,22,113.78,3458,107.4,0,0,1
7,23,112.02,2916,105.45,0,0,1
7,24,114.16,3312,107.66,0,0,1
7,27,112.84,3343,107.85,0,0,1
7,28,113.27,3325,107.45,0,0,1
7,29,111.76,3271,106.84,0,0,1
7,30,112.53,2816,108.63,0,0,1
7,31,114.47,3031,108.29,0,0,1
7,32,113.91,2826,107.95,0,0,1
7,33,112.25,3097,107.25,0,0,1
7,34,111.64,3176,107.22,0,0,1
7,35,112.19,3305,106.98,0,0,1
7,36,112.54,3373,106.59,0,0,1
7,37,112.78,3328.42,106.62,0,0,1
7,38,108.43,3411,105.75,0,0,1
7,39,109.38,3498,106.21,0,0,1
7,40,112.5,3442,107.83,0,0,1
7,41,112.1,3422,108.47,0,0,1
7,42,108.71,3293,106.69,0,0,1
7,43,111.24,3145,106.86,0,0,1
7,44,113.74,3472,106.5,0,0,1
7,47,113,3302,106.46,0,0,1
7,48,112.39,3158,105.27,0,0,1
7,49,113.05,2961,107.19,0,0,1
7,50,110.21,2755,101.84,0,0,1
7,51,113.03,3162,107.49,0,0,1
7,52,118.23,1166,113.65,0,0,1
8,1,114.32,2385,108.42,0,0,1
8,2,113.27,3059,107.59,0,0,1
8,3,113.78,3415,105.1,0,0,1
8,4,113.74,3351,107,0,0,1
8,5,113.94,3183,105.69,0,0,1
8,6,113.26,3170,107.29,0,0,1
8,7,113.01,3275,105.27,0,0,1
8,8,114.81,3201,98.68,0,0,1
8,9,111.87,2970,106.2,0,0,1
8,10,113.35,3324,106.39,0,0,1
8,11,113.04,3429.15,107.77,0,0,1
8,13,112.76,3429,106.87,0,0,1
8,17,114.62,3451,106.31,0,0,1
8,18,112.11,3472,103.76,0,0,1
8,20,112.76,3390,106.29,0,0,1
8,22,113.24,3374,108.95,0,0,1
8,23,112.59,3455,105.87,0,0,1
8,25,114.1,3389,106.9,0,0,1
8,26,112.24,3465,107.05,0,0,1
8,27,111.95,3462,106.91,0,0,1
8,29,114.24,3372,107.41,0,0,1
8,30,112.5,3223,106.66,0,0,1
8,31,114.94,3163,108.61,0,0,1
8,32,115.05,2850,109.76,0,0,1
8,33,114.98,3136,107.95,0,0,1
8,34,114.23,3336,108.02,0,0,1
8,36,116.48,3312,108.66,0,0,1
8,38,115.88,3494,107.48,0,0,1
8,40,116.01,3414,98.34,0,0,1
8,42,117.52,3217,109.93,0,0,1
8,45,115.94,3494,106.61,0,0,1
8,47,113.19,3450,104.4,0,0,1
8,48,116.14,3432,107.78,0,0,1
8,52,103.62,865,115.31,0,0,1
9,1,120.07,450,114.79,0,0,1
9,2,114.54,2394,100.75,0,0,1
9,3,113.36,2990,106.87,0,0,1
9,4,110.27,2897,106.57,0,0,1
9,5,113.86,3283,108.1,0,0,1
9,6,110.65,3498,106.36,0,0,1
9,7,113.63,2979,107.31,0,0,1
9,8,113.52,2971,106.94,0,0,1
9,9,114.38,3324,107.62,0,0,1
9,10,113.34,3398,107.94,0,0,1
9,12,104.21,3492,96.09,0,0,1
9,13,114.76,3137,108.78,0,0,1
9,14,115.6,3449,107.63,0,0,1
9,15,115.09,3180,109.68,0,0,1
9,17,111.78,3383,106.57,0,0,1
9,18,112.14,3123,106.6,0,0,1
9,19,114.5,3200,107.69,0,0,1
9,22,110.44,3195,100.11,0,0,1
9,23,114.72,3457,107.49,0,0,1
9,25,115.06,3352,107.53,0,0,1
9,26,112.09,3191.19,105.84,0,0,1
9,29,114.87,3472,107.8,0,0,1
9,30,113.88,3046,107.58,0,0,1
9,31,114.49,3043,108.44,0,0,1
9,32,114.75,3079,108.37,0,0,1
9,33,114.34,2842,109.21,0,0,1
9,36,114.78,3098,107.94,0,0,1
9,37,113.66,3271,106.65,0,0,1
9,38,115.69,3351,106.18,0,0,1
9,39,115.17,3402,107.35,0,0,1
9,41,112.24,3267.46,106.05,0,0,1
