"speed_main","flow_main","week","speed_ngh_432","year2011","year2012","year2013","year2014","year2015","year2016","year2017","year2018","year2019","hour7","hour8","hour9"
114.62,158.4,52,108.21,0,1,0,0,0,0,0,0,0,0,0,0
110.48,1598,51,104.04,0,0,0,1,0,0,0,0,0,0,0,0
116.5,3496,31,110.14,0,0,0,0,0,0,0,0,1,0,1,0
112.05,1767.46,43,108.24,0,0,0,0,1,0,0,0,0,0,0,0
114.32,2385,1,108.42,0,0,0,0,0,0,0,1,0,0,0,1
84.73,3011,4,85.25,1,0,0,0,0,0,0,0,0,1,0,0
110.89,1563.05,24,106.15,0,0,1,0,0,0,0,0,0,0,0,0
79.12,3222,6,88.24,0,0,0,0,1,0,0,0,0,1,0,0
113.13,3350,40,107.76,0,0,0,0,0,1,0,0,0,0,0,1
111.22,1225.42,33,107.03,0,0,1,0,0,0,0,0,0,0,0,0
105.86,2942,47,94.76,1,0,0,0,0,0,0,0,0,0,0,1
110.28,1552.88,28,105.55,0,0,1,0,0,0,0,0,0,0,0,0
114.61,1961,21,108.96,0,0,0,0,0,0,0,0,1,0,0,0
115.44,2240,23,110.95,0,0,0,0,0,0,1,0,0,0,0,0
118.5,458,52,113.53,0,0,0,0,0,0,0,1,0,0,1,0
111.36,3293,46,105.11,0,0,0,0,1,0,0,0,0,0,0,1
109.93,2649,42,99.74,0,0,0,0,0,0,0,0,0,0,0,1
106.17,3198,15,98.54,0,1,0,0,0,0,0,0,0,0,1,0
112.51,1628,12,105.52,1,0,0,0,0,0,0,0,0,0,0,0
110.4,1610.59,10,104.59,0,0,1,0,0,0,0,0,0,0,0,0
113.96,2331.58,30,107.3,0,0,0,0,0,0,0,0,0,1,0,0
109.76,3367,39,104.81,0,0,0,0,1,0,0,0,0,0,0,1
105.65,3492,16,97.2,0,0,1,0,0,0,0,0,0,1,0,0
34.36,2818,50,80.08,0,0,0,1,0,0,0,0,0,0,1,0
111.66,3443,49,105.27,0,0,0,0,0,1,0,0,0,0,0,1
110.54,1474.58,18,106.17,0,0,0,1,0,0,0,0,0,0,0,0
112.91,2728,31,82.8,0,0,0,0,1,0,0,0,0,1,0,0
110.21,2755,50,101.84,0,0,0,0,0,0,1,0,0,0,0,1
