"speed_main","flow_main","week","speed_ngh_432","year2011","year2012","year2013","year2014","year2015","year2016","year2017","year2018","year2019","hour7","hour8","hour9"
116.14,1902,24,111.95,0,0,0,0,0,1,0,0,0,0,0,0
115.45,1351,31,111.25,0,0,0,0,0,1,0,0,0,0,0,0
112.78,1375,32,108.74,0,0,0,0,0,1,0,0,0,0,0,0
115.51,1883,36,110.97,0,0,0,0,0,1,0,0,0,0,0,0
114.14,2015,43,109.95,0,0,0,0,0,1,0,0,0,0,0,0
114.7,2001,44,110.22,0,0,0,0,0,1,0,0,0,0,0,0
114.24,1999,46,109.77,0,0,0,0,0,1,0,0,0,0,0,0
113.3,2114,47,108.2,0,0,0,0,0,1,0,0,0,0,0,0
113.3,1942,48,108.63,0,0,0,0,0,1,0,0,0,0,0,0
113.17,2079,49,108.04,0,0,0,0,0,1,0,0,0,0,0,0
113.32,2057,50,109.1,0,0,0,0,0,1,0,0,0,0,0,0
113.65,1353,1,109.09,0,0,0,0,0,0,1,0,0,0,0,0
112.05,1899,3,107.48,0,0,0,0,0,0,1,0,0,0,0,0
111.14,1910,4,107,0,0,0,0,0,0,1,0,0,0,0,0
112.52,1923,9,107.82,0,0,0,0,0,0,1,0,0,0,0,0
113.04,2064,10,109.36,0,0,0,0,0,0,1,0,0,0,0,0
114.68,1951,13,109.95,0,0,0,0,0,0,1,0,0,0,0,0
113.94,2301,16,109.54,0,0,0,0,0,0,1,0,0,0,0,0
115.08,1979,18,110.51,0,0,0,0,0,0,1,0,0,0,0,0
115.88,2107,21,111.66,0,0,0,0,0,0,1,0,0,0,0,0
115.2,2035,22,111.01,0,0,0,0,0,0,1,0,0,0,0,0
115.23,2053,25,111.6,0,0,0,0,0,0,1,0,0,0,0,0
114.85,2095,26,110.39,0,0,0,0,0,0,1,0,0,0,0,0
114.29,1592,30,110.61,0,0,0,0,0,0,1,0,0,0,0,0
115.69,1443,31,112.02,0,0,0,0,0,0,1,0,0,0,0,0
114.76,1540,33,112.13,0,0,0,0,0,0,1,0,0,0,0,0
114.2,1808,35,110.09,0,0,0,0,0,0,1,0,0,0,0,0
107.98,1932,38,89.98,0,0,0,0,0,0,1,0,0,0,0,0
108.9,2001,39,107.66,0,0,0,0,0,0,1,0,0,0,0,0
109.04,1964,40,107.67,0,0,0,0,0,0,1,0,0,0,0,0
106.87,1938,43,107.02,0,0,0,0,0,0,1,0,0,0,0,0
112.09,2151,48,107.89,0,0,0,0,0,0,1,0,0,0,0,0
111.85,2114,49,108.63,0,0,0,0,0,0,1,0,0,0,0,0
112.53,2039,51,110.09,0,0,0,0,0,0,1,0,0,0,0,0
116.53,217.89,52,111.11,0,0,0,0,0,0,1,0,0,0,0,0
111.41,1952,7,107.66,0,0,0,0,0,0,0,1,0,0,0,0
111.09,1970,8,108.12,0,0,0,0,0,0,0,1,0,0,0,0
112.95,2038,10,108.65,0,0,0,0,0,0,0,1,0,0,0,0
113.48,2415,14,108.54,0,0,0,0,0,0,0,1,0,0,0,0
114.15,2206,15,109.5,0,0,0,0,0,0,0,1,0,0,0,0
113.91,2168,16,110.69,0,0,0,0,0,0,0,1,0,0,0,0
114.19,2134,17,110.25,0,0,0,0,0,0,0,1,0,0,0,0
113.86,2269,23,110.34,0,0,0,0,0,0,0,1,0,0,0,0
114.51,1735,34,111.39,0,0,0,0,0,0,0,1,0,0,0,0
114.37,2045,37,108.68,0,0,0,0,0,0,0,1,0,0,0,0
114.72,2166,41,109.45,0,0,0,0,0,0,0,1,0,0,0,0
