year,week,speed_main,flow_main,flow_ngh_400,flow_ngh_432,speed_ngh_400,speed_ngh_432,hour6,hour7,hour8,hour9
2,17,109.2,1749,1888,2148,108.78,104.07,1,0,0,0
2,18,109.45,1536,1676,1907,109.24,103.99,1,0,0,0
2,19,109.94,1666,1826,2150,109.64,104.11,1,0,0,0
2,20,112.3,1653,1796,2094,110.28,104.94,1,0,0,0
2,21,110.11,1697,1853,2184,108.23,105.25,1,0,0,0
2,22,111.93,1808,1966,2322,110.63,105.4,1,0,0,0
2,23,112.75,1665,1875.48,2201.82,111.35,106.25,1,0,0,0
2,24,111.83,1630,1784,2011,111.05,107.51,1,0,0,0
2,25,112.23,1581,1726,1961,110.99,105.88,1,0,0,0
2,26,113.2,1656,1793,2070,111.45,106.41,1,0,0,0
2,27,112.88,1543,1664,1970,111.68,107.07,1,0,0,0
2,28,111.78,1735.86,1862.07,1934.48,110.54,106.41,1,0,0,0
2,29,112.31,1290,1453.55,1580.62,110.62,105.99,1,0,0,0
2,30,113.77,1232.2,1347,1447.5,112.7,109.31,1,0,0,0
2,31,113.19,1055,1075.38,1297.5,113.15,106.99,1,0,0,0
2,32,112.3,1010,1129,1319,111.56,107.47,1,0,0,0
2,33,113.17,1153,1230,1502,112.01,106.26,1,0,0,0
2,34,111.18,1320,1463,1836,109.47,105.17,1,0,0,0
2,35,110.77,1456,1593,1870,109.28,104.09,1,0,0,0
2,36,112.21,1513,1637,1919,110.04,105.8,1,0,0,0
2,37,110.71,1578,1687,1965,110,105.31,1,0,0,0
2,38,111.53,1448,1613,1859,110.67,104.9,1,0,0,0
2,39,109.28,1587,1721,1976,108.34,104.06,1,0,0,0
2,40,111.26,1561.4,1719.07,2091.63,110.26,104.58,1,0,0,0
2,41,112.08,1497,1701,2023.5,110.53,104.9,1,0,0,0
2,42,110.49,1648.75,1806.25,2082.5,109.13,104.45,1,0,0,0
2,43,109.51,1529.45,1684.36,2004,110,104.77,1,0,0,0
2,44,109.7,1664.44,1830,2102.22,107.95,103.26,1,0,0,0
2,45,110.39,1623,1761,2032,109.62,105.2,1,0,0,0
2,46,111.04,1569,1673,1995,109.48,104.17,1,0,0,0
2,47,110.42,1603,1732,1983,109.76,104.42,1,0,0,0
2,48,111.66,1606,1747,2014,109.72,105.59,1,0,0,0
2,49,111.03,1543,1694,1953,109.43,104.85,1,0,0,0
2,50,108.03,1706,1831,2138,107.75,104.17,1,0,0,0
2,51,110.9,1539,1657,1917,109.84,105.86,1,0,0,0
2,52,114.62,158.4,164.44,185.66,114.78,108.21,1,0,0,0
3,1,116.31,218.57,245.26,263.16,115.66,109.92,1,0,0,0
3,2,111.37,1522.35,1676.47,1940,110.15,105.1,1,0,0,0
3,3,98.9,1396.84,1452.63,1743.16,97.42,94.97,1,0,0,0
3,4,108.46,1414.74,1531.58,1894.74,108.42,103.51,1,0,0,0
3,5,110.63,1448.08,1568.08,1932.69,109.34,103.31,1,0,0,0
3,6,109.13,1528.42,1695.79,1976.84,107.2,102.19,1,0,0,0
3,7,109.25,1451.38,1612.63,1844.21,109.4,105.18,1,0,0,0
3,8,109.97,1456,1551,1900,110.25,105.25,1,0,0,0
3,9,110.32,1534.14,1680,2014.14,109.47,105.31,1,0,0,0
3,10,110.4,1610.59,1718.82,2028.24,110.08,104.59,1,0,0,0
3,11,108.89,1486.91,1634.18,1957.09,108.23,104.75,1,0,0,0
3,12,110.27,1504.07,1636.27,1955.59,109.54,105.94,1,0,0,0
3,13,110.35,1520.69,1657.24,2055.52,110.8,104.84,1,0,0,0
3,14,109.96,1716.61,1845.76,2143.73,109.52,105.49,1,0,0,0
3,15,110.25,1581.36,1701.36,2049.15,109.9,105.11,1,0,0,0
3,16,110.11,1540,1699,2052,109.86,105.81,1,0,0,0
3,17,111.7,1580,1733,2095,110.08,104.67,1,0,0,0
3,18,114.95,286.07,312.63,325,113.75,108.98,1,0,0,0
3,19,112.62,1453,1523,1891,111.99,107.37,1,0,0,0
3,20,112.14,1523,1581,2042,110.94,105.11,1,0,0,0
3,21,111.15,1745.45,1836,2256,110.26,104.04,1,0,0,0
3,22,110.94,1581.05,1638.95,2078.95,110.26,105.55,1,0,0,0
3,23,111.49,1541.79,1598.57,1977.86,111.2,106.71,1,0,0,0
3,24,110.89,1563.05,1617.97,2070.51,110.11,106.15,1,0,0,0
3,25,112.47,1504.07,1556.95,1973.9,112.15,106.85,1,0,0,0
3,26,111.26,1537.63,1575.25,1991.19,110.84,107.38,1,0,0,0
3,27,111.44,1697.59,1806.21,2070,109.51,106.37,1,0,0,0
3,28,110.28,1552.88,1712.54,2042.03,109.06,105.55,1,0,0,0
3,29,111.35,1395.85,1532.83,1790.94,110.07,106.51,1,0,0,0
3,30,112.06,1124.21,1276.84,1535.79,111.45,107.82,1,0,0,0
3,31,112.66,1008.62,1120.34,1317.93,111.47,107.69,1,0,0,0
3,32,111.83,966.21,1110,1281.72,111.09,107.19,1,0,0,0
3,33,111.22,1225.42,1320,1528.47,111.29,107.03,1,0,0,0
3,34,111.67,1402,1537,1759,110.39,107.13,1,0,0,0
3,35,111.76,1437.93,1568.28,1797.93,110.55,106.71,1,0,0,0
3,36,111.03,1450.34,1596.21,1939.66,110.06,105.75,1,0,0,0
3,37,110.15,1443.05,1588.47,1956.61,108.29,104.8,1,0,0,0
3,38,109.18,1542.41,1673.79,2027.59,107.44,103.57,1,0,0,0
3,39,111.13,1573.45,1717.24,2046.21,109.51,106.37,1,0,0,0
3,40,110.33,1493.79,1670.69,2056.55,108.91,105.85,1,0,0,0
3,41,110.97,1581.72,1714.14,2031.72,109.14,105.36,1,0,0,0
3,42,109.51,1515.25,1658.64,2056.27,108.35,104.6,1,0,0,0
3,43,110.91,1462.5,1625.36,1959.64,109.37,105.18,1,0,0,0
3,44,109.65,1800,1920,2306.4,107.43,102.29,1,0,0,0
3,45,110,1551.6,1710,2083.2,108.18,104.77,1,0,0,0
3,46,110.93,1580,1737.89,2162.11,107.93,104.08,1,0,0,0
3,47,109.78,1589.47,1692.63,2040,108.1,104.62,1,0,0,0
3,48,109.05,1623.16,1807.37,2155.79,107.65,104.89,1,0,0,0
3,49,109.6,1485,1620,2061.82,108.31,104.99,1,0,0,0
3,50,110.11,1602.11,1755.79,2177.89,108.86,105.75,1,0,0,0
3,51,110.23,1560,1698.89,2058.89,109.99,106.35,1,0,0,0
3,52,106.68,693.1,795.52,924.83,106.36,102.29,1,0,0,0
3,1,108.74,507.86,546.43,637.5,107.73,105.29,1,0,0,0
4,2,110.12,1476,1639.29,1991.79,107.56,104.4,1,0,0,0
